glasses,eyesight,sleep_wkdy,sleep_wknd,id,nsibs,samp,race_eth,sex,region,income,res_1980,res_2002,age_bir
0,1,5,7,3,3,5,3,2,1,22390,11,11,19
1,2,6,7,6,1,1,3,1,1,35000,3,11,30
0,2,7,9,8,7,6,3,2,1,7227,11,11,17
1,3,6,7,16,3,5,3,2,1,48000,11,11,31
0,3,10,10,18,2,1,3,1,3,4510,11,11,19
1,2,7,8,20,2,5,3,2,1,50000,3,11,30
0,1,8,8,27,1,5,3,2,1,20000,11,11,27
1,1,8,8,49,6,5,3,2,1,23900,11,11,24
1,2,7,8,57,1,5,3,2,1,23289,11,11,21
0,1,8,8,67,1,1,3,1,1,35000,3,11,36
0,3,8,8,86,7,7,2,2,1,1688,11,19,17
1,5,7,7,96,2,6,3,2,1,3000,11,11,19
1,1,7,8,97,7,5,3,2,1,8000,11,11,29
0,1,7,7,98,2,6,3,2,1,6618,11,11,30
0,1,8,8,117,2,1,3,1,1,52300,6,11,26
0,1,7,7,137,4,5,3,2,1,40000,3,11,26
0,3,7,4,172,9,6,3,2,1,3162,11,11,35
1,2,8,8,179,2,5,3,2,1,10000,11,11,22
1,3,8,8,186,2,5,3,2,1,30000,3,11,31
1,3,8,9,200,2,5,3,2,1,25200,11,11,24
0,4,7,7,205,4,8,1,2,1,11960,11,11,21
1,2,6,10,218,2,1,3,1,1,15000,11,11,31
0,2,8,8,227,4,7,2,2,1,5184,11,11,17
0,5,7,7,237,4,5,3,2,3,5710,11,11,23
0,1,8,8,242,2,5,3,2,1,7236,11,11,27
0,1,7,7,243,3,1,3,1,1,12600,11,11,26
1,2,7,8,244,4,5,3,2,1,7910,11,11,18
0,4,7,7,247,4,2,3,1,1,6000,3,11,27
0,1,6,10,250,1,5,3,2,1,10600,11,11,24
1,2,6,6,256,2,5,3,2,1,18000,11,11,18
0,2,6,6,259,2,1,3,1,1,19700,11,11,21
1,3,6,6,274,6,2,3,1,1,5800,16,11,19
1,2,7,7,281,3,1,3,1,1,25000,3,11,34
0,2,7,7,290,11,8,1,2,1,17900,11,11,19
1,3,8,8,297,2,5,3,2,1,16705,11,11,21
1,2,7,7,317,2,1,3,1,1,29000,3,11,33
0,2,6,10,333,5,7,2,2,1,10600,11,11,23
0,4,6,6,335,7,7,2,2,1,800,11,11,32
0,3,6,5,337,2,3,2,1,1,5000,1,11,20
0,3,3,3,343,5,7,2,2,1,11400,11,11,19
1,2,6,7,354,4,5,3,2,1,21975,11,11,32
0,1,7,8,357,3,1,3,1,1,25000,11,11,35
1,1,7,8,369,1,5,3,2,1,46000,3,11,32
0,1,5,5,377,5,3,2,1,1,5400,11,19,23
1,4,6,9,382,5,7,2,2,1,7065,11,11,16
0,1,6,8,392,3,1,3,1,1,29000,11,11,27
0,1,5,5,398,3,3,2,1,1,5300,11,11,21
1,1,7,8,400,2,5,3,2,1,25500,3,11,28
1,3,7,9,409,6,2,3,1,1,3617,11,11,25
0,1,6,6,410,5,1,3,1,1,16000,11,11,23
1,2,7,7,422,2,1,3,1,2,63000,3,11,28
1,1,6,7,423,2,5,3,2,1,70000,3,11,34
0,1,5,7,437,5,5,3,2,1,19260,11,11,23
0,3,7,7,442,1,5,3,2,1,14750,11,11,18
0,2,7,7,443,1,1,3,1,1,10000,11,11,25
1,1,8,8,444,1,5,3,2,1,40000,3,11,28
0,1,7,8,457,2,1,3,1,1,35500,11,11,32
1,1,7,8,458,0,5,3,2,1,40000,3,11,31
0,2,7,7,466,2,1,3,1,1,10025,11,11,23
1,1,8,8,481,2,1,3,1,2,30000,3,11,30
1,1,7,8,482,2,1,3,1,2,50000,3,11,29
0,2,7,7,503,2,5,3,2,2,30000,11,11,19
1,3,5,7,513,4,3,2,1,2,8204,3,11,28
1,2,6,5,550,2,5,3,2,2,22300,11,11,21
1,2,7,7,552,7,5,3,2,2,35000,3,11,24
0,1,6,6,553,7,1,3,1,2,35000,3,11,34
0,1,4,3,555,4,1,3,1,2,13000,11,11,21
1,1,7,8,557,3,5,3,2,2,37000,11,11,28
1,1,8,8,582,2,5,3,2,2,7000,11,11,27
1,2,5,7,583,1,1,3,1,2,8850,11,11,36
1,1,6,6,619,5,5,3,2,2,15170,11,11,17
0,1,7,8,620,3,3,2,1,2,18000,11,11,24
1,1,7,7,625,10,3,2,1,2,13000,11,11,14
0,3,6,9,631,12,1,3,1,2,6060,11,11,19
1,2,6,6,632,5,5,3,2,2,8060,11,11,17
0,1,5,8,644,2,1,3,1,2,6400,11,11,34
0,1,7,8,647,1,1,3,1,2,40000,11,11,22
1,3,6,7,649,2,1,3,1,2,6400,11,11,28
0,2,6,7,653,0,1,3,1,2,20000,3,11,43
1,2,6,8,664,4,5,3,2,2,52000,3,11,28
0,3,4,6,692,2,5,3,2,2,20000,11,11,19
1,1,7,7,704,4,5,3,2,2,16000,11,11,22
1,1,7,8,706,6,6,3,2,2,27000,11,11,19
1,1,8,8,708,6,6,3,2,2,2946,11,6,20
1,4,6,7,712,5,5,3,2,2,50000,11,11,24
0,2,6,8,720,4,5,3,2,2,23700,11,11,19
0,3,7,8,731,3,1,3,1,2,10000,11,11,23
1,1,8,8,739,6,5,3,2,2,15355,11,11,19
0,1,7,8,742,1,1,3,1,2,2400,3,11,34
1,1,8,8,752,2,6,3,2,2,4250,11,11,32
1,2,6,6,753,6,3,2,1,2,9000,11,11,16
1,1,5,6,755,6,8,1,2,2,11000,11,11,17
1,1,5,5,761,5,5,3,2,2,3150,16,11,20
1,2,5,7,775,4,5,3,2,2,7240,11,11,26
1,1,7,7,792,4,5,3,2,2,25000,11,11,22
1,1,4,4,801,5,5,3,2,2,20000,11,11,21
1,1,7,8,812,1,5,3,2,2,21000,3,11,25
0,1,7,8,820,1,5,3,2,2,30000,3,11,36
1,2,7,7,825,2,1,3,1,2,40000,3,11,29
1,4,5,8,836,5,8,1,2,2,744,11,11,18
1,3,5,8,848,4,5,3,2,2,14000,11,19,20
1,2,7,7,855,6,5,3,2,2,20000,11,11,24
1,1,6,8,856,6,5,3,2,3,25000,11,11,22
1,1,8,8,862,1,5,3,2,2,10700,11,11,19
0,2,6,7,881,6,1,3,1,2,40000,3,11,28
0,1,7,7,888,3,1,3,1,2,12250,11,11,21
0,4,9,8,889,2,5,3,2,2,12600,11,11,21
1,2,7,7,890,4,1,3,1,2,40000,3,11,26
